conteudo,source
"O que é a EV.G? Como funcionam os cursos da EV.G ?

A Escola Virtual de Governo (EV.G) é um portal que reúne os cursos online das principais escolas de governo e dos centros de capacitação da Administração Pública. Os cursos podem ser feitos por qualquer pessoa, mesmo que ela não seja servidora pública. Os cursos da EV.G seguem diferentes formatos, mas, de uma forma geral, podem ser compostos por vídeos, arquivos de texto, atividades de ﬁxação e, obrigatoriamente, uma ou mais atividades avaliativas. Essas informações são detalhadas no Guia do Participante que ﬁca acessível após a inscrição. Na página de inscrição do curso também é possível obter algumas informações sobre o curso, como conteúdo programático, carga horária, etc. Caso você atinja a nota mínima de aprovação, a EV.G oferece certiﬁcação e validação gratuita de conclusão digital dos cursos. Em caso de outras dúvidas, acesse: https://www.escolavirtual.gov.br/perguntas-frequentes",FAQ_EVG.csv
"Usuário pergunta sobre existência de um determinado curso na EV.G/ Catálogo de cursos EV.G

Possuímos mais 600 cursos ativos em nosso catálogo de cursos, todos com emissão de certiﬁcado gratuitamente. Caso você não tenha encontrado o curso que deseja, você pode pesquisar por cursos similares, de acordo com a temática de seu interesse. Para pesquisar por cursos EAD do portal EV.G, acesse o nosso catálogo, conforme os passos abaixo: 1. Acesse a nossa página de catálogo de cursos: https://www.escolavirtual.gov.br/catalogo 2. No ﬁltro de busca digite o nome do curso do seu interesse. Dica: No ﬁltro de busca pelo nome, digite uma palavra chave, exemplo: “ Licitações”, “contratos”, “ﬁscalização”, “marketing”, “gestão”, etc. 3. Caso não encontre o curso pelo nome, pesquise pelo tema do curso, clicando na opção “Tema”, ou ﬁltre pelas competências, idioma ou conteudista. Além dos cursos da EV.G, a ENAP também oferece cursos remotos com aulas ao vivo . Para pesquisar por cursos remotos com interação ao vivo, siga os passos abaixo: 1. Acesse a nossa vitrine de cursos da ENAP: https://suap.enap.gov.br/vitrine/ Banco de Respostas - CSE 2. Em Educação Executiva, no ﬁltro de busca, digite o nome do curso do seu interesse e escolha a modalidade “Remoto”. 3. Caso não encontre o curso pelo nome, utilize os demais ﬁltros de busca para reﬁnamento da pesquisa. Em caso de outras dúvidas, acesse: https://www.escolavirtual.gov.br/perguntas-frequentes",FAQ_EVG.csv
"Os cursos a distância da EV.G são gratuitos? A quem se destinam?

Todos os cursos online da Escola Virtual.Gov (EV.G) são gratuitos, com emissão de certiﬁcados gratuitamente. No geral, são cursos abertos, não apresentam limite de vagas e podem ser cursados a qualquer momento, por qualquer pessoa, seja ela servidora pública ou não. Nos cursos abertos, você poderá se inscrever em quantos cursos quiser, a qualquer tempo, inclusive no mesmo período, desde que tenha disponibilidade para cursá-los. Atenção: reforçamos a importância de veriﬁcar seu tempo disponível para conseguir acompanhar os cursos que você se inscrever. Banco de Respostas - CSE Temos casos de cursos exclusivos para um público-alvo especíﬁco, ou seja, somente as pessoas que fazem parte daquele público-alvo poderão realizar o curso. Nesses casos, os critérios estão discriminados na seção Público-alvo, na página de inscrição do curso. Todos os nossos cursos são certiﬁcados, desde que você consiga atingir os critérios informados no “Guia do Participante”. A certiﬁcação e a emissão do certiﬁcado também são gratuitas. O certiﬁcado é disponibilizado de forma digital: https://www.escolavirtual.gov.br/aluno/certiﬁcados Não emitimos certiﬁcados impressos. Acesse o Catálogo de Cursos(https://www.escolavirtual.gov.br/catalogo), escolha algum curso de seu interesse e comece agora mesmo a cursá-lo! Em caso de outras dúvidas, acesse: https://www.escolavirtual.gov.br/perguntas-frequentes",FAQ_EVG.csv
"Por quanto tempo o certiﬁcado é válido ? Prazo de validade do certiﬁcado

Os certiﬁcados dos cursos EV.G têm uma validade permanente após a sua emissão. Nossos cursos são considerados cursos de educação continuada e, por isso, não estão sujeitos ao reconhecimento do MEC. Banco de Respostas - CSE Cada instituição possui suas próprias regras para reconhecimento de cursos. Portanto, veriﬁque junto à sua instituição se nossos cursos podem inﬂuenciar em sua progressão funcional ou podem ser aproveitados na sua instituição. Em caso de outras dúvidas, acesse: https://www.escolavirtual.gov.br/perguntas-frequentes",FAQ_EVG.csv
"Os cursos a distância da Escola Virtual.Gov são reconhecidos pelo MEC?

Os cursos a distância ofertados pela EV.G são considerados cursos de educação continuada e, por isso, não estão sujeitos ao reconhecimento do MEC. Cada instituição possui suas próprias regras para reconhecimento de cursos. Portanto, veriﬁque junto à sua instituição se nossos cursos podem inﬂuenciar em sua progressão funcional ou podem ser aproveitados na sua faculdade Em caso de outras dúvidas, acesse: https://www.escolavirtual.gov.br/perguntas-frequentes",FAQ_EVG.csv
"Posso obter diploma de ensino fundamental ou ensino médio com os cursos da EV.G ?

Banco de Respostas - CSE Para concluir o ensino fundamental ou médio, seja de forma regular ou pelo EJA, você deve se matricular em uma instituição de ensino fundamental/ensino médio reconhecida pelo MEC. Os cursos a distância ofertados pela EV.G são considerados cursos de educação continuada, autoinstrucionais e sem tutoria, dessa forma, não estão sujeitos ao reconhecimento do MEC. Portanto, os cursos da EV.G não são válidos para conclusão do ensino fundamental e/ou médio. Em caso de outras dúvidas, acesse: https://www.escolavirtual.gov.br/perguntas-frequentes",FAQ_EVG.csv
"Os cursos da EV.G são considerados como cursos técnicos ou cursos de graduação ?

Os cursos a distância ofertados pela EV.G são considerados cursos de educação continuada, autoinstrucionais e sem tutoria, dessa forma, não estão sujeitos ao reconhecimento do MEC. Nossos cursos podem ser utilizados para aproveitamento em seu currículo, faculdade ou instituição, porém não são considerados como cursos de nível técnico ou cursos de graduação. Em caso de outras dúvidas, acesse: https://www.escolavirtual.gov.br/perguntas-frequentes",FAQ_EVG.csv
"Os cursos da EV.G são considerados cursos de extensão ?

Os cursos a distância ofertados pela EV.G são considerados cursos de educação continuada, autoinstrucionais e sem tutoria, dessa forma, não estão sujeitos ao reconhecimento do MEC. São cursos livres e podem ser utilizados para aproveitamento em seu currículo, faculdade ou instituição. Cada instituição possui suas próprias regras para reconhecimento de cursos. Portanto, veriﬁque junto à sua instituição se os nossos cursos são aceitos para o ﬁm desejado. Possuímos mais 500 cursos ativos em nosso catálogo de cursos, todos com emissão de certiﬁcado gratuitamente. Para pesquisar por cursos EAD do portal EV.G, acesse o nosso catálogo, conforme os passos abaixo: 2. Acesse a nossa página de catálogo de cursos: https://www.escolavirtual.gov.br/catalogo 4. No ﬁltro de busca digite o nome do curso do seu interesse. Dica: No ﬁltro de busca pelo nome, digite uma palavra chave, exemplo: “meio ambiente”, “programação”, “marketing”, “gestão”, etc. 5. Caso não encontre o curso pelo nome, pesquise pelo tema do curso, clicando na opção “Tema”, ou ﬁltre pelas competências, idioma ou conteudista. Em caso de outras dúvidas, acesse: https://www.escolavirtual.gov.br/perguntas-frequentes Banco de Respostas - CSE",FAQ_EVG.csv
"Os cursos da EV.G são válidos para emissão de carteira de estudante ?

A carteira de estudante é destinada a alunos regularmente matriculados em instituições de ensino fundamental, médio, técnico, superior e pós-graduação reconhecidas pelo MEC. Os cursos a distância ofertados pela EV.G são considerados cursos de educação continuada, autoinstrucionais e sem tutoria, dessa forma, não estão sujeitos ao reconhecimento do MEC. Portanto, os cursos da EV.G não são válidos para emissão da carteira de estudante. Em caso de outras dúvidas, acesse: https://www.escolavirtual.gov.br/perguntas-frequentes",FAQ_EVG.csv
"Os cursos da EV.G são aceitos em concursos, provas de títulos ou pelo Órgão X para função X ?

Somos uma Escola Virtual do Governo Federal Brasileiro. Nossos cursos são considerados cursos de educação continuada, autoinstrucionais e sem tutoria, dessa forma, não estão sujeitos ao reconhecimento do MEC. Banco de Respostas - CSE Os cursos da EV.G visam agregar conhecimento em diversas áreas, podendo ser inseridos no currículo e comprovados por meio dos nossos certiﬁcados. Entretanto, cada instituição possui suas próprias regras para reconhecimento de cursos. Portanto, veriﬁque junto à instituição que deseja atuar se os nossos cursos são aceitos para o ﬁm desejado. Em caso de outras dúvidas, acesse: https://www.escolavirtual.gov.br/perguntas-frequentes",FAQ_EVG.csv
"Como realizo meu cadastro na EV.G?

Para realizar o seu cadastro na EV.G, siga os seguintes passos : 1. Acesse https://www.escolavirtual.gov.br e clique em “Cadastre-se”. 2. Digite um e-mail válido e clique em “Enviar”. 3. Em seguida, você receberá uma mensagem de primeiro contato com a Secretaria Virtual da EV.G e um e-mail de conﬁrmação será enviado para a caixa de entrada do e-mail informado. 4. Clique no link enviado para o seu e-mail e siga para o preenchimento do formulário de cadastro. Observação: caso não esteja recebendo o e-mail com o link de efetivação do cadastro, veriﬁque na caixa de spam do seu e-mail. Se mesmo assim não receber o e-mail, tente utilizar uma conta de e-mail pessoal válida, Banco de Respostas - CSE pois alguns órgãos podem bloquear recebimento de mensagens da plataforma Escola Virtual.Gov (EV.G). 5. Após concluir o preenchimento do formulário de cadastro, clique em “Cadastrar”. 6. Após realizar o seu cadastro, encontre o curso do seu interesse em nosso catálogo de cursos( https://www.escolavirtual.gov.br/catalogo), , clique em ""Inscreva-se"" no curso desejado e preencha o formulário de inscrição no curso. Ou, poderá entrar com a sua conta Gov.Br Em caso de outras dúvidas, acesse: https://www.escolavirtual.gov.br/perguntas-frequentes",FAQ_EVG.csv
"Usuário deseja iniciar um determinado curso, mas efetuou apenas o cadastro na EV.G e não se inscreveu em nenhum curso

Identiﬁcamos o seu cadastro em nossa plataforma, porém, você ainda não efetuou inscrição em nenhum curso. Após realizar seu cadastro, acesse a página do curso desejado e clique em ""Inscreva-se"". Os cursos têm início imediatamente após a inscrição realizada. Para acompanhar o curso em que realizou a inscrição, siga as instruções: Banco de Respostas - CSE Acesse https://www.escolavirtual.gov.br . No canto superior direito, utilize o botão “Entrar” para fazer login na Secretaria Virtual da EV.G. Acesse o seu nome. Em ""Meus Cursos"", escolha a opção ""Em Andamento"". No curso desejado, utilize o botão “Ver curso” para acessar o ambiente do curso. Em caso de outras dúvidas, acesse: https://www.escolavirtual.gov.br/perguntas-frequentes",FAQ_EVG.csv
"Posso fazer mais de um curso ao mesmo tempo ? Cursos simultâneos

Você pode se inscrever em quantos cursos quiser, simultaneamente ou não, desde que sejam cursos diferentes, porém, tenha atenção aos prazos para conclusão dos cursos. Os cursos ofertados pela EV.G possuem prazo para sua realização, ou seja, têm o seu período de disponibilidade. Se você se inscrever em muitos cursos ao mesmo tempo, poderá ter diﬁculdades para concluir todos dentro do prazo. O período do curso não é prorrogado, portanto, o aluno deverá organizar-se, fazendo um cronograma de estudos para o cumprimento de todas as atividades. Esse prazo pode ser diferente de acordo com o curso escolhido. Ele pode variar entre 10 e 100 dias (a depender da carga horária do curso) e começa a ser contado a partir do dia da inscrição no curso. Banco de Respostas - CSE A informação do prazo para realização do curso pode ser conferida no Guia do Participante, na página inicial do seu curso. Em caso de outras dúvidas, acesse: https://www.escolavirtual.gov.br/perguntas-frequentes",FAQ_EVG.csv
"Curso suspenso/ Inscrições fechadas / Usuário quer se inscrever em curso inativo/indisponível

A Escola Virtual.Gov (EV.G) faz ajustes periodicamente em seus cursos a distância, por isso, alguns cursos apresentam-se com a inscrição fechada. No momento este curso está inativo para ajustes e por isso não é possível fazer inscrição. Infelizmente não temos como estimar um prazo para o retorno de suas inscrições, pois dependemos do conteudista/parceiro. Para saber se a inscrição será reaberta, é necessário acompanhar com regularidade um dos nossos canais de divulgação: ● Catálogo de Cursos ● YouTube ● Twitter ● Instagram ● Facebook Nesses canais você pode encontrar também outros cursos que podem fazer parte da sua área de interesse! Pedimos a gentileza de ﬁcar atento(a) ao nosso site https://www.escolavirtual.gov.br/ para acompanhar as novidades. Banco de Respostas - CSE Para pesquisar outros cursos em nosso catálogo, siga os passos abaixo: 1. Acesse a nossa página de catálogo de cursos: https://www.escolavirtual.gov.br/ 2. No ﬁltro de busca digite o nome do curso do seu interesse. 3. Caso não encontre o curso pelo nome, pesquise pelo tema do curso, clicando na opção “Tema”, ou ﬁltre pelas competências, idioma ou conteudista. Em caso de outras dúvidas, acesse: https://www.escolavirtual.gov.br/perguntas-frequentes",FAQ_EVG.csv
"Quando e como dou início ao curso? / Como acesso o curso?

Os cursos têm início imediatamente após a inscrição realizada. Para acompanhar o curso em que realizou a inscrição, siga as instruções: 1. Acesse https://www.escolavirtual.gov.br . 2. No canto superior direito, utilize o botão “Entrar” para fazer login na Secretaria Virtual da EV.G. 3. Acesse o seu nome. 4. Em ""Meus Cursos"", escolha a opção ""Em Andamento"". Banco de Respostas - CSE 5. No curso desejado, utilize o botão “Ver curso” para acessar o ambiente do curso. Observação: o período do curso não é prorrogado, portanto, busque organizar-se fazendo um cronograma de estudos para o cumprimento de todas as atividades. Lembramos que, após o encerramento, não será possível acessar o ambiente do curso. Em caso de outras dúvidas, acesse: https://www.escolavirtual.gov.br/perguntas-frequentes",FAQ_EVG.csv
"Como acessar o curso pelo APP moodle do celular/ QR Code do App Moodle/App mobile

Os cursos da EV.G podem ser acessados em seu dispositivo móvel, mas alguns cursos não são inteiramente suportados, como o curso do SEI. Por isso, recomendamos fortemente que realize o curso pelo computador, especialmente as atividades avaliativas. A EV.G possui um aplicativo na loja virtual do Android mas ainda está em fase experimental. A EV.G utiliza o ambiente virtual de aprendizagem Moodle para disponibilização dos cursos. Banco de Respostas - CSE Existe um Aplicativo oﬁcial do Moodle disponível para download na Play Store e Apple Store, porém, o mesmo não é homologado pela EV.G e não oferecemos suporte a este aplicativo. Em caso de outras dúvidas, acesse: https://www.escolavirtual.gov.br/perguntas-frequentes",FAQ_EVG.csv
"Quais são os requisitos de sistema/software para acessar os cursos da EV.G ?

Não é necessário instalação de software para acesso aos nossos cursos. Nossos cursos rodam em qualquer navegador de internet, porém, recomendamos o uso do navegador Chrome. Os cursos da EV.G podem ser acessados em seu dispositivo móvel, mas alguns cursos não são inteiramente suportados. Por isso, recomendamos fortemente que realize o curso pelo computador, especialmente as atividades avaliativas. Alguns cursos práticos podem sugerir a instalação de algum programa para desenvolvimento das atividades, nestes casos, o aluno será orientado a como fazer isso durante o curso. Em caso de outras dúvidas, acesse: https://www.escolavirtual.gov.br/perguntas-frequentes",FAQ_EVG.csv
"Usuário alega que tenta se cadastrar em algum curso e não consegue. A página ﬁca carregando e não ﬁnaliza.

Foi adicionado o e-mail ""xx@xxl.com"" foi adicionado ao seu cadastro, pois não havia nenhum e-mail associado. Por gentileza, tentar a inscrição novamente. Caso não se recorde da sua senha, tente a opção de recuperação da senha. Em caso de outras dúvidas, acesse: https://www.escolavirtual.gov.br/perguntas-frequentes",FAQ_EVG.csv
"Quais documentos a EV.G disponibiliza? Aluno solicita um documento de comprovação

Banco de Respostas - CSE A EV.G disponibiliza aos seus usuários três documentos: 1. Comprovante de inscrição. 2. Certiﬁcado de conclusão do curso. 3. Relatório de atividades do usuário no curso Não é disponibilizado: Declaração de realização de curso sem aprovação. Caso tenha interesse nos documentos disponíveis, siga os seguintes passos: 1. Acesse https://www.escolavirtual.gov.br. 2. No canto superior direito, utilize o botão “Entrar” para fazer login na Secretaria Virtual da EV.G. 3. Acesse o seu nome. 4. Selecione ""Meus Comprovantes"". 5. No curso em questão, clique em “Gerar Comprovante” Em caso de outras dúvidas, acesse: https://www.escolavirtual.gov.br/perguntas-frequentes",FAQ_EVG.csv
"Usuário solicita que o certiﬁcado contenha informação de “Curso EAD” ou solicita que os certiﬁcados contenham outras informações especíﬁcas

Nossos certiﬁcados seguem um layout padrão para todos os cursos, não é possível alterá-lo. O certiﬁcado de conclusão digital da Escola Virtual.Gov possui as informações necessárias para ser aceito como um certiﬁcado de conclusão em um curso livre, conforme especiﬁcado no link abaixo: https://www.escolavirtual.gov.br/perguntas-frequentes#f19 Banco de Respostas - CSE A ENAP possui diversos cursos de forma presencial, híbrida, remota(com aulas ao vivo) e totalmente EAD(sem tutoria, autoinstrucional). A Escola Virtual de Governo - EV.G - é uma escola virtual que faz parte da ENAP e oferece cursos totalmente EAD e auto instrucionais. Todos os certiﬁcados emitidos pela EV.G possuem um código no verso que permite a veriﬁcação da sua autenticidade. Para veriﬁcar a autenticidade do certiﬁcado, não é necessário ter cadastro na EV.G ou fazer login. Caso queira veriﬁcar a autenticidade de um certiﬁcado emitido pela Escola Virtual da Enap, tenha em mãos o código identiﬁcador, localizado na parte inferior do certiﬁcado, e digite o código identiﬁcador no seguinte endereço: https://www.escolavirtual.gov.br/documentos/validacao. Observação: veriﬁque se não está confundindo o número um com a letra “L” minúscula ou a letra “o” com o número zero. É preciso também ter atenção e digitar as letras maiúsculas e minúsculas. Isso interfere no reconhecimento do código. Você também pode apontar a câmera do seu celular para o QR Code que aparece no seu certiﬁcado e seguir para o endereço que será apresentado. Em caso de outras dúvidas, acesse: https://www.escolavirtual.gov.br/perguntas-frequentes",FAQ_EVG.csv
